0,1,2
0.0135135135135,Izalci (PSDB-DF),Laudívio Carvalho (PMDB-MG)
0.0144927536232,Izalci (PSDB-DF),Miguel Haddad (PSDB-SP)
0.003003003003,Izalci (PSDB-DF),Wlad (SD-PA)
0.0135135135135,Izalci (PSDB-DF),Mariana Carvalho (PSDB-RO)
0.00502512562814,Izalci (PSDB-DF),Stefano Aguiar (PSB-MG)
0.025974025974,Izalci (PSDB-DF),Jorge Tadeu (DEM-SP)
0.016393442623,Izalci (PSDB-DF),Osmar Terra (PMDB-RS)
0.0114942528736,Izalci (PSDB-DF),Vanderlei Macris (PSDB-SP)
0.0169491525424,Domingos Neto (PROS-CE),Izalci (PSDB-DF)
0.0181818181818,Izalci (PSDB-DF),Shéridan (PSDB-RR)
0.0142857142857,Augusto Carvalho (SD-DF),Izalci (PSDB-DF)
0.00877192982456,Izalci (PSDB-DF),Rogério Rosso (PSD-DF)
0.0172413793103,Benjamin Maranhão (SD-PB),Izalci (PSDB-DF)
0.016393442623,Izalci (PSDB-DF),Wilson Filho (PTB-PB)
0.00403225806452,Eduardo Cury (PSDB-SP),Izalci (PSDB-DF)
0.0181818181818,Izalci (PSDB-DF),Jaqueline Roriz (PMN-DF)
0.0119047619048,Fraga (DEM-DF),Izalci (PSDB-DF)
0.00578034682081,Izalci (PSDB-DF),Policarpo (PT-DF)
0.00840336134454,Izalci (PSDB-DF),Ronaldo Fonseca (PROS-DF)
0.00709219858156,Décio Lima (PT-SC),Izalci (PSDB-DF)
0.0119047619048,Izalci (PSDB-DF),Rôney Nemer (PMDB-DF)
0.00746268656716,Izalci (PSDB-DF),Marco Maia (PT-RS)
0.013698630137,Izalci (PSDB-DF),Paulo Pimenta (PT-RS)
0.00917431192661,Mauro Lopes (PSDB-DF),Tadeu Alencar (PSB-PE)
0.0294117647059,Arthur Maia (SD-BA),Mauro Lopes (PSDB-DF)
0.0357142857143,Jorge Côrte Real (PTB-PE),Mauro Lopes (PSDB-DF)
0.0322580645161,Imbassahy (PSDB-BA),Mauro Lopes (PSDB-DF)
0.0217391304348,Jutahy Magalhães (PSDB-BA),Mauro Lopes (PSDB-DF)
0.0192307692308,Mauro Lopes (PSDB-DF),Toninho Pinheiro (PP-MG)
0.0119047619048,Daniel Almeida (PC do B-BA),Mauro Lopes (PSDB-DF)
0.0227272727273,Fraga (DEM-DF),Mauro Lopes (PSDB-DF)
0.00523560209424,João Paulo Kleinubing (PSD-SC),Pedro Uczai (PT-SC)
0.0028901734104,João Rodrigues (PSD-SC),Pedro Uczai (PT-SC)
0.0042735042735,Angela (PC do B-SC),Pedro Uczai (PT-SC)
0.00558659217877,Celso Maldaner (PMDB-SC),Pedro Uczai (PT-SC)
0.00641025641026,Edinho Bez (PMDB-SC),Pedro Uczai (PT-SC)
0.00334448160535,Pedro Uczai (PT-SC),Ronaldo Benedet (PMDB-SC)
0.00578034682081,Jorge Boeira (PP-SC),Pedro Uczai (PT-SC)
0.00529100529101,Pedro Uczai (PT-SC),Sibá Machado (PT-AC)
0.00549450549451,Fernando Ferro (PT-PE),Pedro Uczai (PT-SC)
0.00526315789474,Afonso Hamm (PP-RS),Pedro Uczai (PT-SC)
0.0045871559633,Marcos Montes (PSD-MG),Pedro Uczai (PT-SC)
0.00331125827815,Irajá Abreu (PSD-TO),Pedro Uczai (PT-SC)
0.00555555555556,Paes Landim (PTB-PI),Pedro Uczai (PT-SC)
0.00373134328358,Arnaldo Jardim (PPS-SP),Pedro Uczai (PT-SC)
0.00510204081633,Dulce Miranda (PMDB-TO),Pedro Uczai (PT-SC)
0.00561797752809,Fábio Trad (PMDB-MS),Pedro Uczai (PT-SC)
0.00438596491228,Cesar Halum (PRB-TO),Pedro Uczai (PT-SC)
0.00497512437811,Hugo Leal (PROS-RJ),Pedro Uczai (PT-SC)
0.00442477876106,Nelson Marchezan Junior (PSDB-RS),Pedro Uczai (PT-SC)
0.00581395348837,Pedro Uczai (PT-SC),Valadares Filho (PSB-SE)
0.00549450549451,Luci (PT-SC),Pedro Uczai (PT-SC)
0.0025974025974,Bohn Gass (PT-RS),Pedro Uczai (PT-SC)
0.00578034682081,Esperidião Amin (PP-SC),Pedro Uczai (PT-SC)
0.00529100529101,José Otavio Germano (PP-RS),Pedro Uczai (PT-SC)
0.00425531914894,Paulo Abi-ackel (PSDB-MG),Pedro Uczai (PT-SC)
0.00490196078431,Luiz Fernando (PP-MG),Pedro Uczai (PT-SC)
0.00526315789474,Geraldo Thadeu (PSD-MG),Pedro Uczai (PT-SC)
0.00546448087432,Marinha Raupp (PMDB-RO),Pedro Uczai (PT-SC)
0.00395256916996,Décio Lima (PT-SC),Pedro Uczai (PT-SC)
0.0140845070423,Alfredo Kaefer (PSDB-PR),Luiz Carlos Hauly (PSDB-PR)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Valdir Rossoni (PSDB-PR)
0.012987012987,Alfredo Kaefer (PSDB-PR),Marcelo Belinati (PP-PR)
0.0181818181818,Alfredo Kaefer (PSDB-PR),Nelson Meurer (PP-PR)
0.0192307692308,Alfredo Kaefer (PSDB-PR),Dilceu Sperafico (PP-PR)
0.025641025641,Alfredo Kaefer (PSDB-PR),Ricardo Barros (PP-PR)
0.0178571428571,Alfredo Kaefer (PSDB-PR),Osmar Bertoldi (DEM-PR)
0.015625,Alfredo Kaefer (PSDB-PR),Reinhold Stephanes (PSD-PR)
0.0229885057471,Alfredo Kaefer (PSDB-PR),Delegado Francischini (SD-PR)
0.0416666666667,Alfredo Kaefer (PSDB-PR),Rubens Bueno (PPS-PR)
0.00571428571429,Alfredo Kaefer (PSDB-PR),Ronaldo Benedet (PMDB-SC)
0.0117647058824,Alfredo Kaefer (PSDB-PR),Manato (SD-ES)
0.00595238095238,Alfredo Kaefer (PSDB-PR),Luciano Ducci (PSB-PR)
0.0140845070423,Alfredo Kaefer (PSDB-PR),Toninho Wandscheer (PT-PR)
0.0166666666667,Alexandre Leite (DEM-SP),Alfredo Kaefer (PSDB-PR)
0.0133333333333,Alfredo Kaefer (PSDB-PR),Laércio Oliveira (SD-SE)
0.0175438596491,Alfredo Kaefer (PSDB-PR),Augusto Coutinho (SD-PE)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Bruno Araújo (PSDB-PE)
0.0147058823529,Alfredo Kaefer (PSDB-PR),Eduardo da Fonte (PP-PE)
0.0172413793103,Alfredo Kaefer (PSDB-PR),Raul Jungmann (PPS-PE)
0.0105263157895,Alfredo Kaefer (PSDB-PR),Giacobo (PR-PR)
0.00729927007299,Alfredo Kaefer (PSDB-PR),Luiz Nishimori (PR-PR)
0.0196078431373,Alfredo Kaefer (PSDB-PR),Fernando Monteiro (PP-PE)
0.030303030303,Alfredo Kaefer (PSDB-PR),Evandro Roman (PSD-PR)
0.02,Alex Canziani (PTB-PR),Alfredo Kaefer (PSDB-PR)
0.0140845070423,Alfredo Kaefer (PSDB-PR),Eli Corrêa Filho (DEM-SP)
0.0161290322581,Alfredo Kaefer (PSDB-PR),Gilberto Nascimento (PSC-SP)
0.0153846153846,Alfredo Kaefer (PSDB-PR),Pedro Chaves (PMDB-GO)
0.0208333333333,Alfredo Kaefer (PSDB-PR),Lucas Vergílio (SD-GO)
0.0192307692308,Alfredo Kaefer (PSDB-PR),Silvio Costa (PSC-PE)
0.0108695652174,Alfredo Kaefer (PSDB-PR),Vicente Cândido (PT-SP)
0.0111111111111,Alfredo Kaefer (PSDB-PR),Luiz Carlos Heinze (PP-RS)
0.0161290322581,Alfredo Kaefer (PSDB-PR),Arthur Maia (SD-BA)
0.00662251655629,Alfredo Kaefer (PSDB-PR),Heraclito (PSB-PI)
0.0196078431373,Alfredo Kaefer (PSDB-PR),Jhc (SD-AL)
0.0227272727273,Alfredo Kaefer (PSDB-PR),Mainha (SD-PI)
0.0227272727273,Alfredo Kaefer (PSDB-PR),Paulão (PT-AL)
0.0188679245283,Alfredo Kaefer (PSDB-PR),Lobbe Neto (PSDB-SP)
0.00529100529101,Alfredo Kaefer (PSDB-PR),Floriano Pesaro (PSDB-SP)
0.00884955752212,Alfredo Kaefer (PSDB-PR),Bruna Furlan (PSDB-SP)
0.0208333333333,Alfredo Kaefer (PSDB-PR),Ricardo Tripoli (PSDB-SP)
0.0119047619048,Alfredo Kaefer (PSDB-PR),Silvio Torres (PSDB-SP)
0.00662251655629,Alfredo Kaefer (PSDB-PR),Mara Gabrilli (PSDB-SP)
0.00952380952381,Alfredo Kaefer (PSDB-PR),Thame (PSDB-SP)
0.00518134715026,Alfredo Kaefer (PSDB-PR),Sergio Souza (PMDB-PR)
0.0121951219512,Alfredo Kaefer (PSDB-PR),Papa (PSDB-SP)
0.00689655172414,Alfredo Kaefer (PSDB-PR),Samuel Moreira (PSDB-SP)
0.015873015873,Alfredo Kaefer (PSDB-PR),Vitor Lippi (PSDB-SP)
0.00694444444444,Alfredo Kaefer (PSDB-PR),Arnaldo Jardim (PPS-SP)
0.0178571428571,Alfredo Kaefer (PSDB-PR),Pollyana Gama (PPS-SP)
0.0147058823529,Alfredo Kaefer (PSDB-PR),Roberto Freire (PPS-SP)
0.010989010989,Alex Manente (PPS-SP),Alfredo Kaefer (PSDB-PR)
0.0196078431373,Alfredo Kaefer (PSDB-PR),Pastor Marcelo Aguiar (DEM-SP)
0.0204081632653,Alfredo Kaefer (PSDB-PR),Dutra (SD-MA)
0.00943396226415,Alfredo Kaefer (PSDB-PR),Zarattini (PT-SP)
0.0166666666667,Alfredo Kaefer (PSDB-PR),Carmen Zanotto (PPS-SC)
0.0103092783505,Alfredo Kaefer (PSDB-PR),Guilherme Campos (PSD-SP)
0.0173913043478,Alfredo Kaefer (PSDB-PR),Rodrigo Garcia (DEM-SP)
0.0105263157895,Alfredo Kaefer (PSDB-PR),Ricardo Izar (PSD-SP)
0.015625,Alfredo Kaefer (PSDB-PR),Major Olimpio Gomes (PDT-SP)
0.0222222222222,Alfredo Kaefer (PSDB-PR),Veneziano (PMDB-PB)
0.0128205128205,Alfredo Kaefer (PSDB-PR),Baleia Rossi (PMDB-SP)
0.0227272727273,Alfredo Kaefer (PSDB-PR),Fátima Pelaes (PMDB-AP)
0.0222222222222,Alfredo Kaefer (PSDB-PR),Cabuçu (PMDB-AP)
0.0151515151515,Alfredo Kaefer (PSDB-PR),Nelson Marquezelli (PTB-SP)
0.0123456790123,Alfredo Kaefer (PSDB-PR),Aureo (SD-RJ)
0.0026525198939,Alfredo Kaefer (PSDB-PR),Paulo Teixeira (PT-SP)
0.0108695652174,Alessandro Molon (PT-RJ),Alfredo Kaefer (PSDB-PR)
0.015873015873,Alfredo Kaefer (PSDB-PR),Arnaldo Faria de Sá (PTB-SP)
0.0116279069767,Alfredo Kaefer (PSDB-PR),Jarbas (PMDB-PE)
0.025974025974,Alfredo Kaefer (PSDB-PR),Otavio Leite (PSDB-RJ)
0.0105263157895,Alfredo Kaefer (PSDB-PR),Tereza Cristina (PSB-MS)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Walter Alves (PMDB-RN)
0.0161290322581,Alfredo Kaefer (PSDB-PR),Jácome (PMN-RN)
0.0178571428571,Alfredo Kaefer (PSDB-PR),Felipe Maia (DEM-RN)
0.0161290322581,Alfredo Kaefer (PSDB-PR),Rogerio Marinho (PSDB-RN)
0.0227272727273,Alfredo Kaefer (PSDB-PR),Fabio Faria (PSD-RN)
0.030303030303,Alfredo Kaefer (PSDB-PR),Artur Bisneto (PSDB-AM)
0.0434782608696,Alfredo Kaefer (PSDB-PR),Eduardo Cunha (PMDB-RJ)
0.025,Alfredo Kaefer (PSDB-PR),Fernando Jordão (PMDB-RJ)
0.0147058823529,Alfredo Kaefer (PSDB-PR),Pedro Paulo (PMDB-RJ)
0.0289855072464,Alfredo Kaefer (PSDB-PR),Marco Antônio Cabral (PMDB-RJ)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Indio da Costa (PSD-RJ)
0.0243902439024,Alfredo Kaefer (PSDB-PR),Junior Coimbra (PMDB-TO)
0.00961538461538,Alfredo Kaefer (PSDB-PR),Cesar Halum (PRB-TO)
0.00980392156863,Alfredo Kaefer (PSDB-PR),Nelson Marchezan Junior (PSDB-RS)
0.0172413793103,Alfredo Kaefer (PSDB-PR),Luci (PT-SC)
0.00641025641026,Alfredo Kaefer (PSDB-PR),Maria Do Rosário (PT-RS)
0.0181818181818,Alfredo Kaefer (PSDB-PR),Marcos Rogerio (PDT-RO)
0.0204081632653,Alfredo Kaefer (PSDB-PR),Esperidião Amin (PP-SC)
0.00877192982456,Aleluia (DEM-BA),Alfredo Kaefer (PSDB-PR)
0.00934579439252,Alfredo Kaefer (PSDB-PR),Jerônimo Goergen (PP-RS)
0.0169491525424,Alfredo Kaefer (PSDB-PR),Imbassahy (PSDB-BA)
0.0135135135135,Alfredo Kaefer (PSDB-PR),Jutahy Magalhães (PSDB-BA)
0.00900900900901,Alfredo Kaefer (PSDB-PR),Paulo Abi-ackel (PSDB-MG)
0.0166666666667,Aelton Freitas (PR-MG),Alfredo Kaefer (PSDB-PR)
0.013698630137,Alfredo Kaefer (PSDB-PR),Carlos Melles (DEM-MG)
0.00819672131148,Alfredo Kaefer (PSDB-PR),Duarte Nogueira (PSDB-SP)
0.00293255131965,Alfredo Kaefer (PSDB-PR),Gabriel Guimarães (PT-MG)
0.0161290322581,Alfredo Kaefer (PSDB-PR),Laudívio Carvalho (PMDB-MG)
0.0175438596491,Alfredo Kaefer (PSDB-PR),Miguel Haddad (PSDB-SP)
0.00311526479751,Alfredo Kaefer (PSDB-PR),Wlad (SD-PA)
0.00534759358289,Alfredo Kaefer (PSDB-PR),Stefano Aguiar (PSB-MG)
0.0151515151515,Alfredo Kaefer (PSDB-PR),Jorge Tadeu (DEM-SP)
0.0204081632653,Alfredo Kaefer (PSDB-PR),Osmar Terra (PMDB-RS)
0.0133333333333,Alfredo Kaefer (PSDB-PR),Vanderlei Macris (PSDB-SP)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Danilo Forte (PMDB-CE)
0.00833333333333,Alfredo Kaefer (PSDB-PR),Ana Perugini (PT-SP)
0.0196078431373,Alfredo Kaefer (PSDB-PR),Manoel Junior (PMDB-PB)
0.0116279069767,Alfredo Kaefer (PSDB-PR),Edio Lopes (PMDB-RR)
0.0172413793103,Alfredo Kaefer (PSDB-PR),Augusto Carvalho (SD-DF)
0.0217391304348,Alfredo Kaefer (PSDB-PR),Benjamin Maranhão (SD-PB)
0.0204081632653,Alfredo Kaefer (PSDB-PR),Wilson Filho (PTB-PB)
0.00423728813559,Alfredo Kaefer (PSDB-PR),Eduardo Cury (PSDB-SP)
0.0077519379845,Alfredo Kaefer (PSDB-PR),Décio Lima (PT-SC)
0.0147058823529,Alfredo Kaefer (PSDB-PR),Joao Arruda (PMDB-PR)
0.0119047619048,Alfredo Kaefer (PSDB-PR),Osmar Serraglio (PMDB-PR)
0.0142857142857,Alfredo Kaefer (PSDB-PR),Fernando Marroni (PT-RS)
0.00819672131148,Alfredo Kaefer (PSDB-PR),Marco Maia (PT-RS)
0.00675675675676,Luiz Carlos Hauly (PSDB-PR),Valdir Rossoni (PSDB-PR)
0.0196078431373,Luiz Carlos Hauly (PSDB-PR),Marcelo Belinati (PP-PR)
0.0151515151515,Luiz Carlos Hauly (PSDB-PR),Nelson Meurer (PP-PR)
0.00769230769231,Dilceu Sperafico (PP-PR),Luiz Carlos Hauly (PSDB-PR)
0.025974025974,Luiz Carlos Hauly (PSDB-PR),Ricardo Barros (PP-PR)
0.0227272727273,Luiz Carlos Hauly (PSDB-PR),Osmar Bertoldi (DEM-PR)
0.0751879699248,Luiz Carlos Hauly (PSDB-PR),Reinhold Stephanes (PSD-PR)
0.0121212121212,Delegado Francischini (SD-PR),Luiz Carlos Hauly (PSDB-PR)
0.024,Luiz Carlos Hauly (PSDB-PR),Rubens Bueno (PPS-PR)
0.0212765957447,Luiz Carlos Hauly (PSDB-PR),Sandro Alex (PPS-PR)
0.00806451612903,Cesar Souza (PSD-SC),Luiz Carlos Hauly (PSDB-PR)
0.00531914893617,Luiz Carlos Hauly (PSDB-PR),Peninha (PMDB-SC)
0.00763358778626,Luiz Carlos Hauly (PSDB-PR),Valdir Colatto (PMDB-SC)
0.00395256916996,Luiz Carlos Hauly (PSDB-PR),Ronaldo Benedet (PMDB-SC)
0.0232558139535,Luiz Carlos Hauly (PSDB-PR),Pastor Marco Feliciano (PSC-SP)
0.00613496932515,Luiz Carlos Hauly (PSDB-PR),Manato (SD-ES)
0.00413223140496,Dr. Jorge Silva (PROS-ES),Luiz Carlos Hauly (PSDB-PR)
0.0077519379845,Luiz Carlos Hauly (PSDB-PR),Rodrigo Maia (DEM-RJ)
0.0164609053498,Luciano Ducci (PSB-PR),Luiz Carlos Hauly (PSDB-PR)
0.0093896713615,Alice Portugal (PC do B-BA),Luiz Carlos Hauly (PSDB-PR)
0.0220588235294,Alexandre Leite (DEM-SP),Luiz Carlos Hauly (PSDB-PR)
0.0266666666667,Laércio Oliveira (SD-SE),Luiz Carlos Hauly (PSDB-PR)
0.0046511627907,Luiz Carlos Hauly (PSDB-PR),Tadeu Alencar (PSB-PE)
0.00877192982456,Anderson Ferreira (PR-PE),Luiz Carlos Hauly (PSDB-PR)
