0,1,2
0.0666666666667,Izalci (PSDB-DF),Mauro Lopes (PSDB-DF)
0.0259499648054,Alfredo Kaefer (PSDB-PR),Izalci (PSDB-DF)
0.0141492119993,Izalci (PSDB-DF),Luiz Carlos Hauly (PSDB-PR)
0.0263523138347,Izalci (PSDB-DF),Reinhold Stephanes (PSD-PR)
0.0199204768222,Delegado Francischini (SD-PR),Izalci (PSDB-DF)
0.0361550763031,Izalci (PSDB-DF),Rubens Bueno (PPS-PR)
0.0124659598668,Izalci (PSDB-DF),Ronaldo Benedet (PMDB-SC)
0.0204765038945,Izalci (PSDB-DF),Lelo Coimbra (PMDB-ES)
0.0204765038945,Izalci (PSDB-DF),Manato (SD-ES)
0.02484519975,Izalci (PSDB-DF),Max Filho (PSDB-ES)
0.028171808491,Alexandre Leite (DEM-SP),Izalci (PSDB-DF)
0.022733144649,Izalci (PSDB-DF),Laércio Oliveira (SD-SE)
0.0298142397,Augusto Coutinho (SD-PE),Izalci (PSDB-DF)
0.0241825416703,Bruno Araújo (PSDB-PE),Izalci (PSDB-DF)
0.0292352673102,Izalci (PSDB-DF),Raul Jungmann (PPS-PE)
0.099380799,Daniel Coelho (PSDB-PE),Izalci (PSDB-DF)
0.0145478593491,Izalci (PSDB-DF),Luiz Nishimori (PR-PR)
0.0341992784028,Fernando Monteiro (PP-PE),Izalci (PSDB-DF)
0.0263523138347,Izalci (PSDB-DF),Pastor Eurico (PSB-PE)
0.0179460634019,Alex Canziani (PTB-PR),Izalci (PSDB-DF)
0.0238704958013,Eli Corrêa Filho (DEM-SP),Izalci (PSDB-DF)
0.0272165526976,Gilberto Nascimento (PSC-SP),Izalci (PSDB-DF)
0.0259499648054,Izalci (PSDB-DF),Pedro Chaves (PMDB-GO)
0.037267799625,Izalci (PSDB-DF),Lucas Vergílio (SD-GO)
0.0333333333333,Izalci (PSDB-DF),Silvio Costa (PSC-PE)
0.019245008973,Izalci (PSDB-DF),Vicente Cândido (PT-SP)
0.0122123884241,Izalci (PSDB-DF),Luiz Carlos Heinze (PP-RS)
0.0272165526976,Arthur Maia (SD-BA),Izalci (PSDB-DF)
0.00926283357295,Atila Lira (PSB-PI),Izalci (PSDB-DF)
0.0136653343615,Heraclito (PSB-PI),Izalci (PSDB-DF)
0.0341992784028,Izalci (PSDB-DF),Jhc (SD-AL)
0.0430331482912,Izalci (PSDB-DF),Mainha (SD-PI)
0.0325300024316,Izalci (PSDB-DF),Lobbe Neto (PSDB-SP)
0.0118971768375,Floriano Pesaro (PSDB-SP),Izalci (PSDB-DF)
0.0165634665,Bruna Furlan (PSDB-SP),Izalci (PSDB-DF)
0.037267799625,Izalci (PSDB-DF),Ricardo Tripoli (PSDB-SP)
0.0206724557649,Izalci (PSDB-DF),Silvio Torres (PSDB-SP)
0.0136653343615,Izalci (PSDB-DF),Mara Gabrilli (PSDB-SP)
0.0348949281727,Izalci (PSDB-DF),Thame (PSDB-SP)
0.0117484562808,Izalci (PSDB-DF),Sergio Souza (PMDB-PR)
0.0210818510678,Izalci (PSDB-DF),Papa (PSDB-SP)
0.0210818510678,Carlos Sampaio (PSDB-SP),Izalci (PSDB-DF)
0.0140234387304,Izalci (PSDB-DF),Samuel Moreira (PSDB-SP)
0.0267739776301,Izalci (PSDB-DF),Vitor Lippi (PSDB-SP)
0.0140859042455,Arnaldo Jardim (PPS-SP),Izalci (PSDB-DF)
0.0304290309725,Izalci (PSDB-DF),Pollyana Gama (PPS-SP)
0.02484519975,Izalci (PSDB-DF),Roberto Freire (PPS-SP)
0.0194074169913,Alex Manente (PPS-SP),Izalci (PSDB-DF)
0.0341992784028,Izalci (PSDB-DF),Pastor Marcelo Aguiar (DEM-SP)
0.0361550763031,Dutra (SD-MA),Izalci (PSDB-DF)
0.028171808491,Carmen Zanotto (PPS-SC),Izalci (PSDB-DF)
0.0184900065408,Guilherme Campos (PSD-SP),Izalci (PSDB-DF)
0.0162650012158,Izalci (PSDB-DF),Rodrigo Garcia (DEM-SP)
